뉴스제목
[속보]국힘 선출직 최고위원 전원 사의···비대위 전환 수순
"[속보] 한덕수 대통령 권한대행, NSC 개최"
[속보] 與 최고위원 4명 사의 표명…'한동훈 체제' 붕괴 수순
"[속보]尹, 탄핵안 가결 후 “결코 포기하지 않겠다”"
"[속보] 박찬대, 국힘 향해 “탄핵안 가결로 민주주의 정상 작동 보여줘..."
[속보] '尹대통령 탄핵안' 가결…찬성 204·반대 85표
"""윤 대통령 탄핵안 가결""…외신 일제히 속보로 타전 (종합)"
"[속보] 한덕수 ""국정 안정적 운영에 온 힘과 노력 다할 것"""
"[속보]국힘 ""의원총회서 지도부 총사퇴 결의…지도부 체제 16일 논의"""
"[속보] 경호처, 한덕수 대통령권한대행 전담 경호대 편성"
